settlement_id,true_bank_txn_ids,should_match,reason
SETL5001,BANK9001,True,
SETL5002,BANK9002,True,
SETL5003,BANK9003,True,
SETL5005,BANK9004,True,
SETL5004,BANK9005,True,
SETL5006,BANK9006,True,
SETL5007,BANK9007,True,
SETL5008,BANK9008,True,
SETL5009,BANK9009,True,
SETL5010,BANK9010,True,
SETL5011,BANK9011,True,
SETL5012,BANK9012,True,
SETL5014,,False,duplicate webhook - no bank credit exists for this row
SETL5013,BANK9013,True,
SETL5015,BANK9014,True,
SETL5016,BANK9015,True,
SETL5018,,False,refund debit never cleared the bank
SETL5017,BANK9016,True,
SETL5019,BANK9017,True,
SETL5020,BANK9018,True,
SETL5021,BANK9019,True,
SETL5022,BANK9020,True,
SETL5023,BANK9021,True,
SETL5025,,False,refund debit never cleared the bank
SETL5024,BANK9022,True,
SETL5026,BANK9023,True,
SETL5027,BANK9024,True,
SETL5028,BANK9025,True,
SETL5030,,False,duplicate webhook - no bank credit exists for this row
SETL5029,BANK9026,True,
SETL5031,BANK9027,True,
SETL5032,BANK9028,True,
SETL5034,BANK9029,True,
SETL5033,BANK9030;BANK9031,True,
SETL5035,BANK9032,True,
SETL5036,BANK9033,True,
SETL5037,BANK9034,True,
SETL5039,BANK9035,True,
SETL5038,BANK9036,True,
SETL5040,BANK9037,True,
SETL5041,BANK9038,True,
SETL5042,BANK9039,True,
SETL5044,BANK9040,True,
SETL5043,,False,settlement never credited to bank
SETL5045,BANK9041,True,
SETL5046,BANK9042,True,
SETL5047,BANK9043,True,
SETL5048,BANK9044,True,
SETL5049,BANK9045,True,
SETL5051,BANK9046,True,
SETL5050,BANK9047,True,
SETL5052,BANK9048,True,
SETL5053,,False,settlement never credited to bank
SETL5054,BANK9049,True,
SETL5055,BANK9050,True,
SETL5056,BANK9051,True,
SETL5058,BANK9052,True,
SETL5057,BANK9053,True,
SETL5059,BANK9054,True,
SETL5060,BANK9055,True,
SETL5061,BANK9056,True,
SETL5062,BANK9057,True,
SETL5063,BANK9058,True,
SETL5064,BANK9059,True,
SETL5065,BANK9060,True,
SETL5066,BANK9061,True,
SETL5068,,False,duplicate webhook - no bank credit exists for this row
SETL5069,BANK9062,True,
SETL5067,BANK9063,True,
SETL5070,BANK9064,True,
SETL5071,BANK9065,True,
SETL5072,BANK9066,True,
SETL5074,BANK9067,True,
SETL5073,BANK9068,True,
SETL5075,BANK9069,True,
SETL5077,BANK9070,True,
SETL5076,BANK9071;BANK9072,True,
SETL5078,BANK9073,True,
SETL5079,BANK9074,True,
SETL5080,,False,settlement never credited to bank
SETL5081,BANK9075,True,
SETL5083,BANK9076,True,
SETL5082,BANK9077;BANK9078,True,
SETL5084,BANK9079,True,
SETL5085,BANK9080,True,
SETL5086,BANK9081,True,
SETL5087,BANK9082,True,
SETL5088,BANK9083,True,
SETL5089,BANK9084,True,
SETL5090,BANK9085,True,
SETL5091,BANK9086,True,
SETL5092,BANK9087,True,
SETL5093,BANK9088,True,
SETL5094,BANK9088,True,
SETL5095,BANK9089,True,
SETL5096,BANK9090,True,
SETL5097,BANK9091,True,
SETL5098,BANK9092,True,
SETL5099,BANK9093,True,
SETL5100,BANK9094,True,
